Varenr;Varenavn;Utpris ink.mva;Kjøpspris;Kjøpslistepris;Saldo;Varegr.1;Varegr.2;Varegr.3;Pakningsantall;Posteringsgruppe;Sist oppdatert;Leverandør;Lev. varenr;Saldo;Bruk frg/str
100001;Gavekort;0,00;0,000;0,00;0;0;0;0;0;1;02.01.15 13:26:03;0;;0;False
100002;Forhåndsbetaling;0,00;0,000;0,00;0;0;0;0;0;2;02.01.15 13:26:03;0;;0;False
100000;IKKE I BRUK,LEGG INN VAREN;0,00;0,000;0,00;0;0;0;0;0;4;17.02.15 20:41:43;0;;0;False
100003;IKKE I BRUK,LEGG INN VAREN;0,00;0,000;0,00;0;0;0;0;0;5;17.02.15 20:42:18;0;;0;False
135978;Led Lenser  Hodelykt H7  3xAAA ES;599,00;299,000;299,00;0;1;1;1;0;4;05.01.15 10:07:04;1;LL7497;0;False
738179;Fjällräven  Övik Melange Beanie;299,00;149,000;299,00;0;2;2;2;0;4;12.03.15 13:47:22;2;77261;0;True
561152;Norrøna  svalbard flex1 Pants (W);1499,00;637,075;749,50;10,000;2;3;3;0;4;20.02.15 14:40:21;3;4019-13;10,000;True
135399;Brusletto  Hunter, Norges mest solgte kniv!;899,00;450,000;450,00;1,00;3;4;4;0;4;22.02.15 14:13:20;4;11002;1,00;False
405414;Helle  Temagami;1199,00;599,500;599,50;0;3;4;4;0;4;07.01.15 10:55:43;5;300;0;False
555055;Helle  Gaupe;799,00;399,500;399,50;0;3;4;4;0;4;07.01.15 10:55:48;5;310;0;False
135510;Helle  Fjellkniven;749,00;309,000;374,50;0,000;3;4;4;0;4;06.05.15 12:43:35;5;4;0,000;False
135512;Helle  Besseggen;735,00;367,500;367,50;0;3;4;4;0;4;07.01.15 10:56:41;5;46;0;False
239378;Helle  Alden;735,00;367,500;367,50;0;3;4;4;0;4;07.01.15 10:56:52;5;76;0;False
135517;Helle  Nying;535,00;267,500;267,50;0;3;4;4;0;4;07.01.15 10:57:49;5;55;0;False
758262;Överkalix  Maggot;35,00;16,000;16,00;-69,000;4;5;5;0;4;09.04.15 11:48:28;66;000.502;-69,000;True
163412;Helsport  Poncho GrøNn, Medium;595,00;275,000;275,00;4,000;3;6;6;0;4;02.05.15 13:18:36;7;855-008;4,000;True
142091;Helsport  Lakenpose rektangulær, poly/bom.;295,00;139,500;155,00;0,000;3;7;7;0;4;20.02.15 14:05:21;7;830-008;0,000;True
749209;Buff  Hals Wool Plain;299,00;150,000;150,00;0;2;2;8;0;4;07.01.15 11:46:04;1;BU10063700;0;True
526756;Helsport  Lyngen LT junior sunflower yellow;695,00;329,400;366,00;4,00;3;7;9;0;4;20.02.15 14:06:12;7;410-211;4,00;True
682546;Helsport  Mini;645,00;305,100;339,00;2,000;3;7;10;0;4;20.02.15 14:05:22;7;410-100;2,000;False
546292;Överkalix  Mark;53,00;26,500;26,50;9,000;4;5;5;0;4;09.04.15 11:48:28;66;000.501;9,000;True
561153;Norrøna  svalbard flex1 Pants(W);1499,00;562,000;749,50;3,000;2;3;3;0;4;04.03.15 14:30:46;3;4019-13;3,000;True
593350;Norrøna  trollveggen Gore-Tex Pro Bib (M/W);4999,00;2499,500;2499,50;-1,000;2;8;11;0;4;12.03.15 16:00:33;3;3001-13;-1,000;True
516586;Norrøna  svalbard dri3 Mittens;899,00;320,000;449,50;10,000;2;2;12;0;4;25.03.15 11:36:55;3;4070-11;10,000;True
561146;Norrøna  svalbard flex1 Pants (M);1499,00;562,000;749,50;8,000;2;3;11;0;4;31.03.15 12:44:53;3;4017-13;8,000;True
156733;Four Season  ILDSTÅL LITE 15 GR.;99,00;49,900;49,90;0;3;6;6;0;4;08.01.15 14:43:18;8;160045;0;False
551041;Scarpa  Mustang GTX;2499,00;1250,000;1250,00;9,000;5;9;13;0;4;20.02.15 14:04:12;9;67048;9,000;True
545962;Mountain Equipment  HELIUM 800 WMNS;5499,00;1950,000;1950,00;1,000;3;7;9;0;4;11.04.15 09:29:19;10;21603;1,000;True
807615;Norrøna  falketind Windstopper hybrid P;1999,00;807,075;949,50;5,000;2;3;14;0;4;05.03.15 14:36:55;3;3417-15;5,000;True
144962;Real Turmat  Pasta Provence 500 gr;79,00;52,290;52,29;-4,000;3;6;15;0;5;26.02.15 16:41:17;11;5114;-4,000;False
561155;Norrøna  svalbard flex1 Pants Long (W);1499,00;749,500;749,50;0;2;3;3;0;4;30.01.15 21:21:32;3;4023-13;0;True
741579;Norrøna  trollveggen Gore-Tex Pro Jacke;5999,00;2999,500;2999,50;0;2;3;16;0;4;30.01.15 20:44:49;3;3000-13;0;True
741744;Norrøna  svalbard flex1 Pants(Jr);999,00;499,500;499,50;7,000;2;3;17;0;4;11.01.15 15:59:01;3;8815-14;7,000;True
695289;Fauna  Stolsekk Älgen;1095,00;547,000;547,00;4,000;3;10;18;0;4;22.02.15 14:12:58;12;81340000;4,000;True
593348;Norrøna  trollveggen Gore-Tex Pro Jacket (M);5999,00;2999,500;2999,50;0;2;8;16;0;4;30.01.15 20:43:45;3;3000-13;0;True
500410;Swix  K22 Uni VM Klister -3C to 10C;119,00;46,000;59,50;2,000;6;11;19;0;4;16.04.15 08:55:14;13;K22;2,000;False
140188;Teho  3-Eg Stang;129,00;68,000;68,00;0;4;12;20;0;4;10.01.15 10:40:56;14;490455;0;False
135505;Helle  Speiderkniv Pike;270,00;112,000;135,00;5,000;3;4;4;0;4;16.04.15 08:55:14;5;04P;5,000;False
696647;Norrøna  svalbard flex1 Pants(M);1499,00;562,000;749,50;4,000;2;3;11;0;4;18.03.15 12:53:31;3;4017-13;4,000;True
741501;Norrøna  /29 logo Beanie;399,00;199,500;199,50;3,000;2;2;21;0;4;22.02.15 14:13:10;3;1462-14;3,000;True
807612;Norrøna  falketind Windstopper hybrid J;2799,00;1299,500;1299,50;4,000;2;3;14;0;4;05.03.15 14:34:34;3;3416-15;4,000;True
593352;Norrøna  trollveggen Gore-Tex Pro Jacket (W);5999,00;2999,500;2999,50;-1,000;2;8;14;0;4;30.01.15 20:56:39;3;3002-13;-1,000;True
696601;Norrøna  falketind warm1 Jacket (M);1199,00;549,500;549,50;2,000;2;3;22;0;4;06.03.15 15:37:13;3;3330-14;2,000;True
237876;Fjällräven  Keb Trousers W.;2199,00;999,000;1999,00;1,000;2;3;3;0;4;12.03.15 13:50:59;2;F89235;1,000;True
273630;Led Lenser  Hodelykt H14 4xAA ES;998,00;499,000;499,00;0,000;1;1;1;0;4;11.01.15 15:59:05;1;LL7499;0,000;False
561224;Norrøna  finnskogen Gore-Tex Jacket (M/;3999,00;1999,500;1999,50;2,000;2;3;23;0;4;22.02.15 14:13:14;3;6000-13;2,000;True
506781;Åsnes  KORTFELL SYNT. FELLELÅS 45;399,00;155,000;199,00;1,000;6;11;24;0;4;31.03.15 12:44:53;15;540209;1,000;True
135674;Nikwax  Tx.10 Wash In;159,00;73,000;73,00;0,000;3;6;25;0;4;22.02.15 14:13:10;16;231;0,000;True
696626;Norrøna  falketind PrimaLoft60 Jacket (;1999,00;999,500;999,50;4,000;2;8;14;0;4;30.01.15 21:24:00;3;3342-14;4,000;True
135697;Smartwool  Hike Medium Crew;199,00;50,000;100,00;144,000;2;2;26;0;4;22.02.15 14:12:57;9;SW130;144,000;True
254375;Smartwool  Hike Medium Crew;199,00;100,000;100,00;49,000;2;2;26;0;4;22.02.15 14:12:57;9;SW130;49,000;True
516588;Norrøna  svalbard wool Mittens;449,00;160,000;224,50;3,000;2;2;8;0;4;30.01.15 21:04:15;3;4072-11;3,000;True
741742;Norrøna  narvik dri1 ins long glovesJr.;599,00;299,500;299,50;1,00;2;2;12;0;4;30.01.15 20:18:58;3;8670-14;1,00;True
516577;Norrøna  trollveggen dri3 Long Gaiters;899,00;320,000;449,50;1,000;2;2;21;0;4;04.02.15 13:11:54;3;3675-11;1,000;True
593351;Norrøna  trollveggen Gore-Tex Pro Jacket (W);5999,00;2999,500;2999,50;3,00;2;8;14;0;4;30.01.15 20:43:53;3;3002-13;3,00;True
696586;Norrøna  falketind Gore-Tex Jacket (W);3999,00;1899,500;1899,50;2,00;2;3;14;0;4;05.03.15 13:16:20;3;3312-14;2,00;True
561119;Norrøna  falketind dri3 Jacket (W);3299,00;1649,500;1649,50;0,000;2;8;14;0;4;30.01.15 20:27:21;3;3302-11;0,000;True
741611;Norrøna  falketind Gore-Tex Jacket (W);3999,00;1899,500;1899,50;0,000;2;3;14;0;4;05.03.15 13:16:07;3;3312-14;0,000;True
696582;Norrøna  falketind Gore-Tex Jacket (W);3999,00;1899,500;1899,50;3,000;2;3;14;0;4;01.04.15 13:50:51;3;3312-14;3,000;True
807566;Norrøna  falketind Gore-Tex Jacket (W);3999,00;1899,500;1899,50;2,00;2;3;14;0;4;05.03.15 13:17:08;3;3312-14;2,00;True
807565;Norrøna  falketind Gore-Tex Jacket (W);3999,00;1899,500;1899,50;1,000;2;3;14;0;4;05.03.15 13:17:23;3;3312-14;1,000;True
